Year,Name,College,POS,Height,Weight,HandSize,ArmLength,Wonderlic,FortyYard,BenchPress,VertLeap,BroadJump,Shuttle,ThreeCone,SixtyYdShuttle,Touches,RushAvg,RushTDPct,RecAvg,RecTDPct,Rookie AV
2002,Brian Westbrook,Villanova,RB,68.4,200,10.13,29.5,,4.59,26,37,118,,7.09,,0,,,,,34
2002,DeShaun Foster,UCLA,RB,73,222,,,,4.57,20,35.5,119,4.16,6.82,,754,4.4,0.056,9.4,0.069,20
2002,Chester Taylor,Toledo,RB,70.8,213,9.75,30.13,,4.64,22,33,111,,,,864,5.8,0.068,9.1,0.082,16
2002,Tony Fisher,Notre Dame,RB,74,226,,,,4.66,21,41.5,126,4.13,7,,417,4.8,0.039,12.1,0.152,15
2002,William Green,Boston Col.,RB,72.3,221,7.75,31.5,,4.65,27,42,121,,,,532,5.9,0.066,11.1,0.097,15
2002,Ladell Betts,Iowa,RB,70.5,220,9,30.5,,4.6,23,38,115,4.06,7.06,11.33,904,4.4,0.03,9.8,0.028,13
2002,Lamar Gordon,North Dakota St.,RB,72.6,214,9.5,31,,4.59,16,34,115,,,,0,,,,,9
2002,Maurice Morris,Oregon,RB,71.4,208,8.75,30.25,,4.51,23,36.5,117,,,,501,4.8,0.036,8.8,0.086,8
2002,Rock Cartwright,Kansas St.,RB,67.8,237,9,30.75,,4.48,30,35,113,4.25,7.18,11.79,132,5.1,0.063,9.3,0,7
2002,Maurice Hicks,North Carolina A&T,RB,70,200,8.5,31.5,,4.64,19,,,,,,0,,,,,5
2002,Adrian Peterson,Georgia Southern,RB,70,214,9.75,31.75,,4.69,14,34,117,4.6,7.59,12.08,0,,,,,4
2002,Ricky Williams,Texas Tech,RB,67.3,190,9.13,28.5,,4.48,19,32.5,108,,,,961,4.6,0.046,6.7,0.035,3
2002,Josh Scobey,Kansas St.,RB,71.4,218,9.25,31.25,,4.44,21,40.5,122,3.93,6.96,10.93,422,4.8,0.076,6.2,0,3
2002,Damien Anderson,Northwestern,RB,70.4,211,9.5,29,,4.6,27,33.5,112,4.02,6.93,11.37,1011,4.7,0.04,8.7,0,2
2002,Joe Burns,Georgia,RB,69,213,,,,4.81,21,31,105,,,,688,4.3,0.05,9.2,0.041,2
2002,Eric McCoo,Penn St.,RB,70,214,8.25,31.5,,4.55,14,32.5,111,,,,567,5.1,0.036,10.4,0.129,1
2002,Leonard Henry,East Carolina,RB,72.9,206,8.75,31.5,,4.61,26,35,105,4.29,7.11,12.22,573,6,0.056,7.9,0.056,1
2002,Dameon Hunter,Utah,RB,70.6,219,9.5,31.25,,4.66,,30.5,106,,,,353,5,0.029,9.4,0,0
2002,Dave Minnich,Washington St.,RB,71,218,8.75,30.25,,4.72,12,33.5,114,,,,384,4.4,0.028,8.3,0.074,0
2002,Delvon Flowers,Arizona St.,RB,72,207,9.75,32,,4.64,15,35.5,115,,,,278,5.8,0.06,11.5,0.1,0
2002,Demontray Carter,Troy,RB,70.1,194,7.25,31,,4.58,16,33,115,4.36,7.38,12.06,184,5,0.05,8.1,0.167,0
2002,Dicenzo Miller,Mississippi St.,RB,70.1,215,8.75,30.5,,4.98,8,31,105,4.39,7.25,11.77,453,5.4,0.042,14.9,0.143,0
2002,Ennis Haywood,Iowa St.,RB,70.1,218,9,31.13,,4.76,12,35,112,4.14,7.08,11.72,632,5,0.047,9.1,0,0
2002,Eric Crouch,Nebraska,RB,71.9,195,9.75,30.25,,4.49,,36,112,4.02,6.87,11.52,651,5.3,0.091,36.3,0.667,0
2002,Jonathan Adams,Arkansas St.,RB,73,219,,,,4.58,15,36.5,120,4.31,6.97,,698,4.5,0.025,9,0.033,0
2002,Leveron Williams,Indiana,RB,75.1,224,8.5,33.25,,4.66,16,,,,,,546,6.8,0.069,11.6,0.074,0
2002,Lew Thomas,Vanderbilt,RB,69.5,210,9.25,31,,4.59,17,36,113,4.21,6.87,11.52,222,5.4,0.031,9.3,0,0
2002,LittleJohn Flowers,Michigan St.,RB,71.4,214,9.75,31.5,,4.75,19,34,109,4.08,7.09,11.82,201,5.1,0.02,8.7,0.04,0
2002,Tellis Redmon,Minnesota,RB,71,210,,,,4.61,20,32,113,4.14,7.08,,488,5,0.029,9.1,0.045,0
2002,Brian Allen,Stanford,RB,69,209,,,,4.46,19,33,112,4.08,6.9,,505,4.4,0.027,9.8,0,0
2002,Larry Ned,San Diego St.,RB,70.8,219,9,30.75,,4.62,15,34.5,119,,7.12,,804,4.7,0.047,8.8,0,0
2002,Travis Stephens,Tennessee,RB,68.1,194,8.75,29.75,,4.59,15,32,121,,,,515,4.8,0.043,7.4,0.037,0
2003,Larry Johnson,Penn St.,RB,74.4,214,8.75,31.38,,4.55,19,,,,,,525,6.4,0.057,10.5,0.108,42
2003,Domanick Davis,LSU,RB,69,213,9,30,,4.64,22,32.5,112,4.46,7.31,11.86,496,4.5,0.044,9.6,0.024,34
2003,Onterrio Smith,Oregon,RB,69.9,220,9.75,29.25,,4.48,19,,,,,,476,5.3,0.051,6.7,0.115,14
2003,Quentin Griffin,Oklahoma,RB,67,195,9.25,30,,4.49,21,38,123,4.02,,10.94,865,5.3,0.062,8.2,0.039,6
2003,Justin Fargas,USC,RB,72.9,219,9.75,31,,4.41,27,,137,,,,265,4.2,0.031,11.8,0,5
2003,LaBrandon Toefield,LSU,RB,70.9,233,9.25,30,,4.6,19,,,,,,536,4.2,0.051,9.3,0.04,5
2003,Musa Smith,Georgia,RB,72.8,232,8,31.88,,4.45,,35.5,123,,,,481,4.9,0.042,6.9,0,3
2003,Earnest Graham,Florida,RB,69.1,225,9.5,31,,4.5,22,,,,,,668,5.1,0.054,6.8,0,1
2003,Avon Cobourne,West Virginia,RB,67.5,205,9.38,29.38,,4.7,21,31.5,112,4.12,7.2,11.69,1082,4.9,0.042,7.8,0,0
2003,Dahrran Diedrick,Nebraska,RB,72.1,228,9.75,30,,4.65,19,37,117,4.42,7.3,12.1,509,5.5,0.052,5,0,0
2003,Derek Watson,South Carolina,RB,73,212,,,,4.63,15,34,114,4.2,7.35,,495,4.8,0.037,8,0.034,0
