yearID,franchName,WinTotal,LossTotal,ThreeYearWPCT
1998,Arizona Diamondbacks,243,243,0.5
1999,Arizona Diamondbacks,248,238,0.51
2000,Arizona Diamondbacks,242,244,0.498
2001,Arizona Diamondbacks,217,269,0.447
2002,Arizona Diamondbacks,229,257,0.471
2003,Arizona Diamondbacks,240,246,0.494
2004,Arizona Diamondbacks,256,230,0.527
2005,Arizona Diamondbacks,226,260,0.465
2006,Arizona Diamondbacks,224,262,0.461
2007,Arizona Diamondbacks,212,274,0.436
2008,Arizona Diamondbacks,241,245,0.496
2009,Arizona Diamondbacks,244,242,0.502
2010,Arizona Diamondbacks,260,226,0.535
1965,Atlanta Braves,234,243,0.491
1966,Atlanta Braves,231,253,0.477
1967,Atlanta Braves,225,260,0.464
1968,Atlanta Braves,198,287,0.408
1969,Atlanta Braves,200,286,0.412
1970,Atlanta Braves,196,288,0.405
1971,Atlanta Braves,216,267,0.447
1972,Atlanta Braves,197,230,0.461
1973,Atlanta Braves,220,209,0.513
1974,Atlanta Braves,227,203,0.528
1975,Atlanta Braves,257,229,0.529
1976,Atlanta Braves,234,252,0.481
1977,Atlanta Braves,218,267,0.449
1978,Atlanta Braves,207,277,0.428
1979,Atlanta Braves,195,287,0.405
1980,Atlanta Braves,186,295,0.387
1981,Atlanta Braves,182,300,0.378
1982,Atlanta Braves,222,262,0.459
1983,Atlanta Braves,257,229,0.529
1984,Atlanta Braves,296,190,0.609
1985,Atlanta Braves,270,168,0.616
1986,Atlanta Braves,262,158,0.624
1987,Atlanta Braves,254,166,0.605
1988,Atlanta Braves,287,181,0.613
1989,Atlanta Braves,303,183,0.623
1990,Atlanta Braves,310,176,0.638
1991,Atlanta Braves,304,182,0.626
1992,Atlanta Braves,286,200,0.588
1993,Atlanta Braves,284,200,0.587
1994,Atlanta Braves,290,194,0.599
1995,Atlanta Braves,298,186,0.616
1996,Atlanta Braves,287,199,0.591
1997,Atlanta Braves,265,221,0.545
1998,Atlanta Braves,253,233,0.521
1999,Atlanta Braves,235,251,0.484
2000,Atlanta Braves,242,244,0.498
2001,Atlanta Braves,249,237,0.512
2002,Atlanta Braves,266,220,0.547
2003,Atlanta Braves,274,212,0.564
2004,Atlanta Braves,279,207,0.574
2005,Atlanta Braves,269,217,0.553
2006,Atlanta Braves,242,244,0.498
2007,Atlanta Braves,214,271,0.441
2008,Atlanta Braves,207,278,0.427
2009,Atlanta Braves,230,255,0.474
2010,Atlanta Braves,259,227,0.533
1965,Baltimore Orioles,268,210,0.561
1966,Baltimore Orioles,278,205,0.576
1967,Baltimore Orioles,269,214,0.557
1968,Baltimore Orioles,275,207,0.571
1969,Baltimore Orioles,275,209,0.568
1970,Baltimore Orioles,289,192,0.601
1971,Baltimore Orioles,292,190,0.606
1972,Baltimore Orioles,261,165,0.613
1973,Baltimore Orioles,253,176,0.59
1974,Baltimore Orioles,251,178,0.585
