yearID,franchName,WinTotal,LossTotal,ThreeYearWPCT
1998,Arizona Diamondbacks,274,212,0.564
1999,Arizona Diamondbacks,233,253,0.479
2000,Arizona Diamondbacks,212,274,0.436
2001,Arizona Diamondbacks,204,282,0.42
2002,Arizona Diamondbacks,243,243,0.5
2003,Arizona Diamondbacks,248,238,0.51
2004,Arizona Diamondbacks,242,244,0.498
2005,Arizona Diamondbacks,217,269,0.447
2006,Arizona Diamondbacks,229,257,0.471
2007,Arizona Diamondbacks,240,246,0.494
2008,Arizona Diamondbacks,256,230,0.527
2009,Arizona Diamondbacks,226,260,0.465
2010,Arizona Diamondbacks,224,262,0.461
2011,Arizona Diamondbacks,212,274,0.436
2012,Arizona Diamondbacks,241,245,0.496
2013,Arizona Diamondbacks,244,242,0.502
2014,Arizona Diamondbacks,260,226,0.535
1965,Atlanta Braves,250,236,0.514
1966,Atlanta Braves,251,235,0.516
1967,Atlanta Braves,228,250,0.477
1968,Atlanta Braves,228,249,0.478
1969,Atlanta Braves,234,243,0.491
1970,Atlanta Braves,231,253,0.477
1971,Atlanta Braves,225,260,0.464
1972,Atlanta Braves,198,287,0.408
1973,Atlanta Braves,200,286,0.412
1974,Atlanta Braves,196,288,0.405
1975,Atlanta Braves,216,267,0.447
1976,Atlanta Braves,197,230,0.461
1977,Atlanta Braves,220,209,0.513
1978,Atlanta Braves,227,203,0.528
1979,Atlanta Braves,257,229,0.529
1980,Atlanta Braves,234,252,0.481
1981,Atlanta Braves,218,267,0.449
1982,Atlanta Braves,207,277,0.428
1983,Atlanta Braves,195,287,0.405
1984,Atlanta Braves,186,295,0.387
1985,Atlanta Braves,182,300,0.378
1986,Atlanta Braves,222,262,0.459
1987,Atlanta Braves,257,229,0.529
1988,Atlanta Braves,296,190,0.609
1989,Atlanta Braves,270,168,0.616
1990,Atlanta Braves,262,158,0.624
1991,Atlanta Braves,254,166,0.605
1992,Atlanta Braves,287,181,0.613
1993,Atlanta Braves,303,183,0.623
1994,Atlanta Braves,310,176,0.638
1995,Atlanta Braves,304,182,0.626
1996,Atlanta Braves,286,200,0.588
1997,Atlanta Braves,284,200,0.587
1998,Atlanta Braves,290,194,0.599
1999,Atlanta Braves,298,186,0.616
2000,Atlanta Braves,287,199,0.591
2001,Atlanta Braves,265,221,0.545
2002,Atlanta Braves,253,233,0.521
2003,Atlanta Braves,235,251,0.484
2004,Atlanta Braves,242,244,0.498
2005,Atlanta Braves,249,237,0.512
2006,Atlanta Braves,266,220,0.547
2007,Atlanta Braves,274,212,0.564
2008,Atlanta Braves,279,207,0.574
2009,Atlanta Braves,269,217,0.553
2010,Atlanta Braves,242,244,0.498
2011,Atlanta Braves,214,271,0.441
2012,Atlanta Braves,207,278,0.427
2013,Atlanta Braves,230,255,0.474
2014,Atlanta Braves,259,227,0.533
1965,Baltimore Orioles,308,178,0.634
1966,Baltimore Orioles,318,164,0.66
1967,Baltimore Orioles,289,185,0.61
1968,Baltimore Orioles,278,196,0.586
1969,Baltimore Orioles,268,210,0.561
1970,Baltimore Orioles,278,205,0.576
1971,Baltimore Orioles,269,214,0.557
1972,Baltimore Orioles,275,207,0.571
1973,Baltimore Orioles,275,209,0.568
1974,Baltimore Orioles,289,192,0.601
1975,Baltimore Orioles,292,190,0.606
1976,Baltimore Orioles,261,165,0.613
1977,Baltimore Orioles,253,176,0.59
1978,Baltimore Orioles,251,178,0.585
1979,Baltimore Orioles,277,209,0.57
1980,Baltimore Orioles,266,219,0.548
1981,Baltimore Orioles,241,244,0.497
1982,Baltimore Orioles,223,262,0.46
1983,Baltimore Orioles,194,291,0.4
1984,Baltimore Orioles,208,277,0.429
1985,Baltimore Orioles,217,267,0.448
1986,Baltimore Orioles,230,255,0.474
1987,Baltimore Orioles,232,253,0.478
1988,Baltimore Orioles,241,245,0.496
1989,Baltimore Orioles,237,199,0.544
1990,Baltimore Orioles,219,199,0.524
1991,Baltimore Orioles,222,196,0.531
1992,Baltimore Orioles,257,211,0.549
1993,Baltimore Orioles,265,221,0.545
1994,Baltimore Orioles,255,231,0.525
1995,Baltimore Orioles,231,255,0.475
1996,Baltimore Orioles,215,270,0.443
1997,Baltimore Orioles,204,281,0.421
1998,Baltimore Orioles,201,284,0.414
1999,Baltimore Orioles,216,270,0.444
2000,Baltimore Orioles,223,263,0.459
2001,Baltimore Orioles,222,264,0.457
2002,Baltimore Orioles,213,273,0.438
2003,Baltimore Orioles,207,278,0.427
2004,Baltimore Orioles,201,284,0.414
2005,Baltimore Orioles,198,287,0.408
2006,Baltimore Orioles,199,287,0.409
2007,Baltimore Orioles,228,258,0.469
2008,Baltimore Orioles,247,239,0.508
2009,Baltimore Orioles,274,212,0.564
2010,Baltimore Orioles,262,224,0.539
2011,Baltimore Orioles,266,220,0.547
2012,Baltimore Orioles,245,241,0.504
2013,Baltimore Orioles,211,275,0.434
2014,Baltimore Orioles,176,310,0.362
1965,Boston Red Sox,260,226,0.535
1966,Boston Red Sox,259,227,0.533
1967,Boston Red Sox,257,222,0.537
1968,Boston Red Sox,259,220,0.541
1969,Boston Red Sox,258,221,0.539
1970,Boston Red Sox,268,216,0.554
1971,Boston Red Sox,262,222,0.541
1972,Boston Red Sox,275,208,0.569
1973,Boston Red Sox,279,207,0.574
1974,Boston Red Sox,287,197,0.593
1975,Boston Red Sox,273,210,0.565
1976,Boston Red Sox,233,195,0.544
1977,Boston Red Sox,231,199,0.537
1978,Boston Red Sox,226,206,0.523
1979,Boston Red Sox,253,233,0.521
1980,Boston Red Sox,245,241,0.504
1981,Boston Red Sox,262,223,0.54
1982,Boston Red Sox,254,231,0.524
1983,Boston Red Sox,262,223,0.54
1984,Boston Red Sox,250,236,0.514
1985,Boston Red Sox,260,226,0.535
1986,Boston Red Sox,255,231,0.525
1987,Boston Red Sox,245,241,0.504
1988,Boston Red Sox,237,249,0.488
1989,Boston Red Sox,207,232,0.472
1990,Boston Red Sox,220,201,0.523
1991,Boston Red Sox,225,196,0.534
1992,Boston Red Sox,249,219,0.532
1993,Boston Red Sox,255,231,0.525
1994,Boston Red Sox,264,222,0.543
1995,Boston Red Sox,271,215,0.558
1996,Boston Red Sox,261,224,0.538
1997,Boston Red Sox,260,225,0.536
1998,Boston Red Sox,270,215,0.557
1999,Boston Red Sox,286,200,0.588
2000,Boston Red Sox,288,198,0.593
2001,Boston Red Sox,279,207,0.574
2002,Boston Red Sox,277,209,0.57
2003,Boston Red Sox,277,209,0.57
2004,Boston Red Sox,286,200,0.588
2005,Boston Red Sox,279,207,0.574
2006,Boston Red Sox,274,212,0.564
2007,Boston Red Sox,248,238,0.51
2008,Boston Red Sox,256,230,0.527
2009,Boston Red Sox,237,249,0.488
2010,Boston Red Sox,246,240,0.506
2011,Boston Red Sox,242,244,0.498
2012,Boston Red Sox,264,222,0.543
2013,Boston Red Sox,294,192,0.605
2014,Boston Red Sox,285,201,0.586
1965,Chicago Cubs,260,226,0.535
1966,Chicago Cubs,259,227,0.533
1967,Chicago Cubs,252,227,0.526
1968,Chicago Cubs,245,233,0.513
1969,Chicago Cubs,228,250,0.477
1970,Chicago Cubs,218,267,0.449
1971,Chicago Cubs,216,270,0.444
1972,Chicago Cubs,231,255,0.475
1973,Chicago Cubs,235,251,0.484
1974,Chicago Cubs,240,246,0.494
1975,Chicago Cubs,223,263,0.459
1976,Chicago Cubs,182,245,0.426
1977,Chicago Cubs,175,252,0.41
1978,Chicago Cubs,182,245,0.426
1979,Chicago Cubs,240,245,0.495
1980,Chicago Cubs,244,240,0.504
1981,Chicago Cubs,243,239,0.504
1982,Chicago Cubs,223,259,0.463
1983,Chicago Cubs,223,260,0.462
1984,Chicago Cubs,246,239,0.507
1985,Chicago Cubs,247,239,0.508
1986,Chicago Cubs,247,237,0.51
1987,Chicago Cubs,232,252,0.479
1988,Chicago Cubs,239,245,0.494
1989,Chicago Cubs,211,226,0.483
1990,Chicago Cubs,206,213,0.492
1991,Chicago Cubs,198,221,0.473
1992,Chicago Cubs,217,251,0.464
1993,Chicago Cubs,234,253,0.48
1994,Chicago Cubs,225,262,0.462
1995,Chicago Cubs,222,265,0.456
1996,Chicago Cubs,220,266,0.453
1997,Chicago Cubs,220,266,0.453
